ProductID,Article,Name,CategoryID,BrandID,AnimalID,Description,Compound,Identity,Price
1,356WH5PJVH,"Корм сухой сбалансированный для британских короткошерстных котят, British Shorthair Kitten",1,1,1,"Полнорационный корм для котят породы британской короткошерстной в возрасте от 4 до 12 месяцев; Фаза роста - ключевой этап развития котят этой удивительной породы, который определяет их будущее. Крупная и мускулистая, британская короткошерстная кошка уже с самого раннего возраста имеет особые потребности в питании. Сохраняются они и в дальнейшем, позволяя животному оставаться в форме. Очень многое из того, что важно для развития котят-британцев, зависит от корма.; Здоровый рост котенка. Здоровье и прочность костей и мышц котенка британской короткошерстной породы существенно зависят от того, как пройдет фаза роста. Вот почему в это время так важен выбор подходящей диеты. Учитывая, что кошки этой породы не слишком подвижны и имеют склонность к полноте, им с самого раннего возраста нужно особое питание, причем в ограниченном объеме.; Формирование мышечной и костной систем Адаптированное содержание белка, баланс витаминов и минеральных веществ способствуют развитию мышц и костей, обеспечивая гармоничный рост. Формула обогащена L-карнитином, участвующим в обмене жиров.; Здоровье пищеварительной системы Высокоусвояемые белки (L.I.P.*) и пребиотики поддерживают баланс кишечной микрофлоры. *L.I.P.: белки, отобранные по принципу максимальной усвояемости; Поддержка иммунитета Запатентованный комплекс* антиоксидантов, включающий витамин Е, усиливает естественные защитные механизмы организма. *Франция, патент №EP1146870.; L.I.P. Белки, отобранные по принципу усвояемости более чем на 90%.; Специально для челюстей британских короткошерстных кошек. Размер и текстура крокет в форме полумесяца разработаны специально для удобства захвата британскими короткошерстными котятами. Уникальная форма крокет способствует тщательному разгрызанию корма и поддержанию гигиены ротовой полости.","Состав: изолят растительных белков*, дегидратированные белки животного происхождения (птица), рис, пшеница, животные жиры, растительная клетчатка, гидролизат белков животного происхождения (вкусоароматические добавки), мука из зерновых культур, рыбий жир, соевое масло, минеральные вещества, дрожжи и побочные продукты брожения, фруктоолигосахариды, гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина), гидролизат из панциря ракообразных (источник глюкозамина), гидролизат из хряща (источник хондроитина)* L.I.P. (Low Indigestible Protein) - белки, отобранные по принципу максимальной усвояемости.",10 кг,"11 055,00 ₽"
2,RPA2G9XPET,"Сухой корм для взрослых стерилизованных кошек, с высоким содержанием кролика, Sterilised RENAL PLUS",1,2,1,"На поведение кошек после стерилизации значительное влияние оказывают происходящие в их организме гормональные изменения. Питомцы становятся менее подвижными, но аппетит их возрастает, что грозит развитием ожирения. Кроме того, у них снижается частота и интенсивность мочеиспусканий -- а это создает риск развития мочекаменной болезни. Поэтому стерилизованным кошкам требуется специальное питание с пониженной калорийностью и оптимальным минеральным составом, которое не уступает по вкусу кормам других линеек.;  Команда квалифицированных ветеринарных специалистов и диетологов разработала корм для стерилизованных кошек PRO PLAN(R) Sterilised RENAL PLUS для поддержания здоровья почек* после стерилизации. Этот сбалансированный полнорационный корм с кроликом легко усваивается и подходит для повседневного кормления стерилизованных питомцев.; Уменьшает воздействие окислительного стресса на почки уже через 6 недель кормления; Помогает поддерживать здоровье мочевыделительной системы и оптимальный вес тела стерилизованных кошек; Помогает защищать зубы от образования налета и зубного камня;  Корм сухой для кошек PRO PLAN(R) Sterilised RENAL PLUS (Поддержание здоровья почек) -- это полюбившийся PRO PLAN(R) Sterilised OptiRenal с новым названием, но прежним составом и качеством.;  Рационы PRO PLAN(R) разработаны на основе современных научных достижений.;  Московская ветеринарная академия им. К. И. Скрябина признаёт экспертизу компании «Нестле» в области кормления домашних животных.;  * Этот продукт поддерживает здоровье почек кошек. Если вашей кошке нужна дополнительная специализированная поддержка почек, обратитесь к ветеринару;","Состав: курица, сухой белок птицы, рис, кукурузный глютен, пшеничный глютен, пшеница, волокна пшеницы, кролик (4%), клетчатка, кукуруза, яичный порошок, минеральные вещества, рыбий жир, животный жир, консерванты, вкусоароматическая кормовая добавка, дрожжи, витамины, аминокислоты, антиоксиданты.",10 кг,"8 957,00 ₽"
3,5D7ATG0PK5,"Игрушка для кошек ""Окунь"" с валерианой и кошачьей мятой",2,3,1,"Игрушка ""Окунь"" с валерианой и кошачьей мятой -- это забавный и полезный аксессуар для вашего кота. Она выполнена в виде яркой рыбки в реалистичном дизайне из  плотного износостойкого и безопасного материала.; Эта игрушка помогает кошкам развивать координацию движений, охотничьи навыки, выплеснуть энергию и удовлетворить природное любопытство. Валериана и кошачья мята также обладают успокаивающим эффектом, помогая кошкам расслабиться после активного времяпрепровождения, сбросить напряжение и стресс или отвлечься во время отсутствия хозяина.; Рыбка-окунь станет отличным подарком для вашего пушистого друга и добавит радости в его жизнь!; Размер: 23 см; Вес: 40 г; Помогает защищать зубы от образования налета и зубного камня","Состав: полиэстер, синтепух, валериана, кошачья мята",шт,"182,00 ₽"
4,1LUNYLODY4,Фурминатор M/L для больших кошек c короткой шерстью,3,4,1,"Инструмент FURminator M/L для больших кошек c короткой шерстью.; Уникальное лезвие захватывает и вытаскивает мертвые волоски подшерстка до их выпадения, сокращая линьку до 99%. Инструмент экономит ваше время, сохраняет здоровье кожи и шерсти, не повреждает остевой волос. Вы забудете о выпавшей шерсти на полу, одежде и мебели.; Кнопка самоочистки легко сбрасывает шерсть с инструмента. Защелкните ее для защиты лезвия в процессе хранения. Защитные края предупреждают давление лезвия на кожу.; Инструкция: Вычёсывайте животное, проводя инструментом по направлению роста волос, проникая лезвием вглубь шерсти животного. Не задерживайтесь надолго в одной области. Удалите шерсть с инструмента путём нажатия на кнопку самоочистки.; Гарантия на инструмент FURminator - 10 лет!; Размер лезвия: 62 × 11 мм Зубчики: 4 мм","Состав: пластик, резина, нержавеющая сталь",шт,"3 396,00 ₽"
5,HGTTUP8RF5,Шампунь с хитозаном для красивой шерсти и здоровой кожи кошек,4,5,1,"Предназначен для гигиены и ухода за кожными покровами кошек. Шампунь может быть использован при наличии нарушений волосяного покрова, сухости шерсти, кожи и ее склонности к аллергическим реакциям, а также в период линьки.; Шампунь мягко очищает шерсть от загрязнений, не нарушая естественного защитного барьера кожи.; Активный компонент, хитозан, поможет активизировать регенеративные процессы и снимает статический эффект с шерсти, облегчая расчесывание","Состав: Вода, Лауретсульфат натрия, Кокоамидопропил бетаин, Натрий хлор, Диэтаноламид ж.к кокосового масла, Хитозан, Отдушка, Поликватерниум-7, Динатрий ЭДТА, Лимонная кислота, Д-Пантенол, Консервант.",250 мл,"454,00 ₽"
6,X5HR94L79A,Сухой корм для стерилизованных кошек с говядиной,1,6,1,"В рационе Perfect Fit™ для стерилизованных кошек мы учли потребности организма кошки, прошедшей стерилизацию.; Здоровье мочевыводящей системы ; Поддерживает здоровье мочевыводящей системы у стерилизованных кошек, подверженных повышенному риску развития мочекаменной болезни; Поддержание здорового веса; Помогает поддерживать здоровый вес благодаря сниженному содержанию жиров и рекомендованному оптимальному размеру порции; Здоровый обмен веществ ; Поддерживает здоровый обмен веществ после стерилизации благодаря содержанию всех необходимых питательных веществ","Ингредиенты: мука животного происхождения (в том числе из говядины), пшеничная мука, кукурузная мука, концентрат кукурузного белка, концентрат пшеничного белка, рис, концентрат соевого белка, бульон из продуктов животного происхождения, животные жиры и растительные масла, минеральные вещества, пивоваренные дрожжи, витамины, высушенная мякоть сахарной свеклы, аминокислоты (таурин, метионин), натуральный карамельный краситель, антиоксиданты.",650 г,"416,00 ₽"
7,VLGK29R9QU,"Празител от глистов для котят и кошек (суспензия), 15 мл",4,7,1,"«Празител» - антигельминтное лекарственное средство (от глистов) для профилактики и лечения нематодозов и цестодозов (всех видов глистов); Фармакологическое действие Механизм действия входящих в состав лекарственного препарата активных веществ основан на ингибировании фумаратредуктазы, стойкой деполяризации мышечных клеток гельминта, нарушении энергетического обмена, что вызывает паралич и гибель паразита и способствует его выведению из желудочно-кишечного тракта. Фармакокинетические исследования показали, что Празител суспензия всасывается в кровь в незначительных количествах (max пирантела памоата - 0,19 %, max паразиквантела - 0,1%) и за 24 часа выводится практически полностью.; Дозировка и способ применения Кошкам и котятам Празител суспензию назначают перорально в следующих дозах: 1 мл суспензии на 1 кг массы животного. С профилактической целью применяют кошкам: 1 раз в 3 месяца, котятам - с 3-недельного возраста. Лекарственный препарат назначают беременным кошкам во второй половине беременности и кормящим кошкам через 3 недели после родов с осторожностью под наблюдением ветеринарного врача. Обязательно назначают лекарственный препарат животным перед вакцинацией. Празител суспензию задают животным индивидуально, однократно непосредственно на корень языка в защечную область из шприца-дозатора или с кормом. Возможно вводить дозу лекарственного препарата порционно. Предварительной голодной диеты и применения слабительных средств не требуется. При высокой степени инвазии дегельминтизацию повторяют через 10 дней. Флакон с суспензией перед использованием следует интенсивно взбалтывать в течение 1-2 минут до получения однородной массы. Для удобства взбалтывания суспензии флакон заполняется не более чем на 2/3 общего объема.; Побочные действия Побочных явлений и осложнений при применении лекарственного препарата Празител суспензии в соответствии с настоящей Инструкцией по применению не установлено. Возможна индивидуальная непереносимость лекарственного препарата в виде кратковременного пено- и слюнотечения у некоторых пород кошек и котят, что связано с физиологическими особенностями организма. Симптомы самопроизвольно купируются, симптоматическое лечение не требуется.; Противопоказания Кошки в первой половине беременности, котята моложе 3-недельного возраста.; Взаимодействие с другими лекарственными средствами Не применять лекарственный препарат Празител суспензию одновременно с пиперазином.",нет,15 г,"327,00 ₽"
8,EKBWJ909L9,Стоп цистит БИО для кошек: лечение и профилактика МКБ (суспензия),4,8,1,"Обладает: ; противомикробным действием, ; противовоспалительным действием, ; антисептическим действием, ; диуретическим действием (стимулирует кровоснабжение и обменные процессы в почках, восстанавливает их выделительную функцию), ; салуретическим действием(выводит из организма почечные и мочевые конкременты и предотвращает их образование в дальнейшем) ","Стоп-цистит Био в качестве действующих веществ в 1 мл содержит сухие экстракты трав: горца птичьего - 5,0 мг, хвоща полевого - 5,0 мг, листьев крапивы - 5,0 мг, листьев брусники - 5,0 мг, листьев березы - 5,0 мг, корней солодки - 5,0 мг, плауна булавовидного - 5,0 мг, барбариса обыкновенного - 5,0 мг, золотарника канадского - 5,0 мг, ; а также вспомогательные компоненты: глицерин - 280 мг, натрия бензоат - 1,5 мг, сорбат калия - 1,5 мг и воду очищенную до 1 мл. ; Содержание суммы флавоноидов в пересчете на рутин не менее 0,04%, содержание суммы дубильных веществ в пересчете на танин не менее 0,4%.",30 г,"438,00 ₽"
9,AGNW9N9DWV,"Игрушка для кошек ""Удочка-дразнилка с помпоном-пищалкой",2,3,1,"Удочка-дразнилка для кошек - прекрасный инструмент для развлечения и обучения ваших пушистых друзей. Она представляет собой игрушку в виде мячика, подвешенного с помощью прорезиненного шнурка длиной 70 см к травмобезопасной ""удочке"" (металлический хлыстик с пластиковой ручкой и резиновым колпачком-наконечником); Яркий меховой мячик, плотно набитый синтепухом и оснащенный пищалкой, привлекает внимание кошки и стимулирует ее охотничьи инстинкты, а длинный шнурок способствует долгой игре и невероятным акробатическим трюкам.; Игрушка проста в уходе: мячик можно снять с удочки, сняв резиновый колпачок-наконечник, и стирать в машине-автомат в режиме ""шерсть"" (до 30С⁰).; Играя с удочкой-дразнилкой, ваша кошка сможет развивать свои навыки охоты, поддерживать физическую форму и сохранять активность. Это также помогает укрепить связь между вами и вашим питомцем, создавая веселые и запоминающиеся моменты вместе!","Состав: искусственный мех, синтепух, пластик",шт,"82,00 ₽"
10,UFXU50NXB7,"Расческа, вращающиеся зубья, 18 см",3,9,1,"Расческа, вращающиеся зубья.",Размер: 18 см,шт,"463,00 ₽"
