OrderID,ClientID,StartDate,EndDate
1,3,04.01.2024,05.01.2024
2,3,15.01.2024,16.01.2024
3,5,18.01.2024,20.01.2024
4,6,26.01.2024,27.01.2024
5,6,28.01.2024,29.01.2024
6,7,04.02.2024,07.02.2024
7,7,12.02.2024,14.02.2024
8,9,18.02.2024,21.02.2024
9,13,26.02.2024,01.03.2024
10,13,05.03.2024,07.03.2024
11,13,14.03.2024,28.03.2024
12,14,01.04.2024,03.04.2024
13,15,07.04.2024,09.04.2024
14,16,14.04.2024,15.04.2024
15,17,19.04.2024,21.04.2024
16,17,23.04.2024,27.04.2024
17,19,28.04.2024,04.05.2024
18,19,13.05.2024,15.05.2024
19,20,19.05.2024,21.05.2024
20,20,25.05.2024,26.05.2024
21,21,29.05.2024,04.06.2024
22,21,06.06.2024,19.06.2024
23,26,21.06.2024,04.07.2024
24,28,06.07.2024,11.07.2024
25,29,18.07.2024,19.07.2024
26,30,25.07.2024,06.08.2024
27,31,09.08.2024,10.08.2024
28,37,16.08.2024,17.08.2024
29,38,25.08.2024,28.08.2024
30,38,16.09.2024,17.09.2024
31,43,21.09.2024,23.09.2024
32,43,27.09.2024,29.09.2024
33,43,09.10.2024,25.10.2024
34,44,29.10.2024,30.10.2024
35,46,09.11.2024,20.11.2024
36,47,05.12.2024,08.12.2024
37,47,09.12.2024,10.12.2024
38,47,14.12.2024,15.12.2024
39,48,20.12.2024,22.12.2024
40,50,28.12.2024,29.12.2024
